Código Município Completo,Município,Nome_Município,latitude,longitude,altitude,Microrregião Geográfica,UF,Mesorregião Geográfica
1501808,1808,Breves,-1.3633056350406001,-50.808985539430097,8.6596980000000006,5,15,2
1501907,1907,Bujaru,-1.5139914623006099,-48.035875014395998,17.010542000000001,8,15,3
1501956,1956,Cachoeira do Piriá,-1.5139914623006099,-48.035875014395998,17.010542000000001,13,15,4
1502004,2004,Cachoeira do Arari,-1.0087862656392799,-48.960667577387099,9.5638740000000002,6,15,2
1502103,2103,Cametá,-2.2514074750291702,-49.354917127448097,9.4847160000000006,11,15,4
1502152,2152,Canaã dos Carajás,-6.4021490794781197,-49.8496690034195,240.952855,19,15,6
1502202,2202,Capanema,-1.192441995,-47.175126123134397,27.276527999999999,10,15,4
1502301,2301,Capitão Poço,-1.74618729323752,-47.062825377400905,64.787475999999998,13,15,4
1502400,2400,Castanhal,-1.29643025667047,-47.994194800279502,25.092551,8,15,3
1502509,2509,Chaves,-0.16243729012191202,-49.989318605071404,11.587441999999999,6,15,2
1502608,2608,Colares,-0.93209124395773901,-48.288728431949401,12.004689000000001,9,15,4
1502707,2707,Conceição do Araguaia,-8.2648635299999995,-49.264500812495704,180.16321199999999,22,15,6
1502756,2756,Concórdia do Pará,-1.9845214627727501,-47.949886939004699,49.262563,12,15,4
1502764,2764,Cumaru do Norte,-7.8111065368992705,-50.771578377513094,311.59624600000001,18,15,6
1502772,2772,Curionópolis,-6.0968199522066593,-49.602214224950401,210.95418799999999,19,15,6
1502806,2806,Curralinho,-1.8094234196669301,-49.791522847085403,2.4810940000000001,5,15,2
1502855,2855,Curuá,-1.88992870430549,-55.119678608730801,23.287489000000001,2,15,1
1502905,2905,Curuçá,-0.70844460986857494,-47.768494602775796,13.227383,9,15,4
1502939,2939,Dom Eliseu,-4.2907777200000004,-47.555914885993403,261.07071200000001,17,15,6
1502954,2954,Eldorado do Carajás,-6.1035251610713903,-49.373951942152196,138.74262100000001,19,15,6
1503002,3002,Faro,-2.1729752419497701,-56.745753017306996,19.039247,1,15,1
1503044,3044,Floresta do Araguaia,-7.5587008723700801,-49.697578412237299,187.62249800000001,22,15,6
1503077,3077,Garrafão do Norte,-1.93169704310669,-47.045046017297295,45.818804,13,15,4
