id_microrregiao,fk_id_estado,fk_id_mesorregiao,nome
43026,43,4305,Porto Alegre
21019,21,2105,Porto Franco
17006,17,1702,Porto Nacional
29032,29,2907,Porto Seguro
11001,11,1101,Porto Velho
31052,31,3110,Pouso Alegre
21012,21,2103,Presidente Dutra
35036,35,3508,Presidente Prudente
51019,51,5105,Primavera do Leste
28007,28,2803,Propriá
41031,41,4109,Prudentópolis
13012,13,1304,Purus
52018,52,5205,Quirinópolis
26017,26,2605,Recife
15021,15,1506,Redenção
35055,35,3514,Registro
43019,43,4303,Restinga Seca
29015,29,2904,Ribeira do Pombal
35014,35,3502,Ribeirão Preto
12004,12,1202,Rio Branco
35026,35,3506,Rio Claro
33018,33,3306,Rio de Janeiro
42011,42,4204,Rio do Sul
17004,17,1701,Rio Formoso
13001,13,1301,Rio Negro
41039,41,4110,Rio Negro
13008,13,1303,Rio Preto da Eva
52002,52,5201,Rio Vermelho
51021,51,5105,Rondonópolis
21003,21,2101,Rosário
51016,51,5104,Rosário Oeste
15009,15,1504,Salgado
26002,26,2601,Salgueiro
31005,31,3102,Salinas
29021,29,2905,Salvador
43005,43,4301,Sananduva
43020,43,4304,Santa Cruz do Sul
43018,43,4303,Santa Maria
29003,29,2901,Santa Maria da Vitória
33008,33,3303,Santa Maria Madalena
23007,23,2301,Santa Quitéria
31053,31,3110,Santa Rita do Sapucaí
43001,43,4301,Santa Rosa
32008,32,3203,Santa Teresa
27003,27,2701,Santana do Ipanema
15002,15,1501,Santarém
43017,43,4303,Santiago
43007,43,4301,Santo Ângelo
29020,29,2905,Santo Antônio de Jesus
33002,33,3301,Santo Antônio de Pádua
35063,35,3515,Santos
42007,42,4202,São Bento do Sul
35025,35,3505,São Carlos
15018,15,1506,São Félix do Xingu
43025,43,4305,São Jerônimo
35030,35,3507,São João da Boa Vista
31058,31,3111,São João Del Rei
35010,35,3502,São Joaquim da Barra
35004,35,3501,São José do Rio Preto
35050,35,3513,São José dos Campos
31054,31,3110,São Lourenço
32005,32,3202,São Mateus
41034,41,4109,São Mateus do Sul
52001,52,5201,São Miguel do Araguaia
42001,42,4201,São Miguel do Oeste
27012,27,2703,São Miguel dos Campos
35061,35,3515,São Paulo
22011,22,2203,São Raimundo Nonato
31048,31,3110,São Sebastião do Paraíso
25021,25,2504,Sapé
29023,29,2906,Seabra
12003,12,1202,Sena Madureira
29008,29,2903,Senhor do Bonfim
28001,28,2801,Sergipana do Sertão do São Francisco
24011,24,2402,Seridó Ocidental
25008,25,2502,Seridó Ocidental Paraibano
24012,24,2402,Seridó Oriental
25009,25,2502,Seridó Oriental Paraibano
24010,24,2402,Serra de Santana
24005,24,2401,Serra de São Miguel
23025,23,2305,Serra do Pereiro
25007,25,2501,Serra do Teixeira
33015,33,3306,Serrana
27001,27,2701,Serrana do Sertão Alagoano
27008,27,2703,Serrana dos Quilombos
43032,43,4307,Serras de Sudeste
29016,29,2904,Serrinha
23018,23,2304,Sertão de Cratéus
23020,23,2304,Sertão de Inhamuns
23019,23,2304,Sertão de Quixeramobim
23021,23,2304,Sertão de Senador Pompeu
26004,26,2601,Sertão do Moxotó
31027,31,3107,Sete Lagoas
51007,51,5101,Sinop
23005,23,2301,Sobral
43013,43,4301,Soledade
35046,35,3512,Sorocaba
25003,25,2501,Sousa
26018,26,2605,Suape
14004,14,1402,Sudeste de Roraima
52013,52,5205,Sudoeste de Goiás
42017,42,4205,Tabuleiro
51013,51,5103,Tangará da Serra
12002,12,1201,Tarauacá
35043,35,3511,Tatuí
13005,13,1303,Tefé
41019,41,4105,Telêmaco Borba
31015,31,3104,Teófilo Otoni
22003,22,2202,Teresina
51020,51,5105,Tesouro
42015,42,4205,Tijucas
28005,28,2802,Tobias Barreto
41022,41,4106,Toledo
15012,15,1504,Tomé-Açu
27007,27,2702,Traipu
50007,50,5003,Três Lagoas
31024,31,3106,Três Marias
43002,43,4301,Três Passos
33005,33,3303,Três Rios
42018,42,4206,Tubarão
15016,15,1506,Tucuruí
35037,35,3509,Tupã
31064,31,3112,Ubá
31022,31,3105,Uberaba
31018,31,3105,Uberlândia
24007,24,2401,Umarizal
25019,25,2503,Umbuzeiro
41002,41,4101,Umuarama
31001,31,3101,Unaí
41033,41,4109,União da Vitória
23010,23,2302,Uruburetama
43015,43,4302,Vacaria
24004,24,2401,Vale do Açu
26007,26,2603,Vale do Ipanema
26008,26,2603,Vale do Ipojuca
33011,33,3305,Vale do Paraíba Fluminense
52014,52,5205,Vale do Rio dos Bois
29030,29,2907,Valença
22006,22,2202,Valença do Piauí
52011,52,5204,Vão do Paranã
31050,31,3110,Varginha
23027,23,2306,Várzea Alegre
33014,33,3306,Vassouras
31062,31,3112,Viçosa
11007,11,1102,Vilhena
32009,32,3203,Vitória
29028,29,2906,Vitória da Conquista
26014,26,2604,Vitória de Santo Antão
35003,35,3501,Votuporanga
41018,41,4104,Wenceslau Braz
42003,42,4201,Xanxerê
