Código de Distrito Completo,Distrito,Nome_Distrito,latitude,longitude,altitude,Código Município Completo
150170940,40,Treme,,,,1501709
150172505,05,Brasil Novo,,,,1501725
150175805,05,Brejo Grande do Araguaia,,,,1501758
150175815,15,São Raimundo do Araguaia,,,,1501758
150178205,05,Breu Branco,,,,1501782
150180805,05,Breves,,,,1501808
150180810,10,Antônio Lemos,,,,1501808
150180815,15,Curumu,,,,1501808
150180820,20,São Miguel dos Macacos,,,,1501808
150190705,05,Bujaru,,,,1501907
150190710,10,Guajará-Açu,,,,1501907
150200405,05,Cachoeira do Arari,,,,1502004
150195605,05,Cachoeira do Piriá,,,,1501956
150210305,05,Cametá,,,,1502103
150210307,07,Areião,,,,1502103
150210310,10,Carapajó,,,,1502103
150210315,15,Curuçambaba,,,,1502103
150210320,20,Janua Coeli,,,,1502103
150210325,25,Juaba,,,,1502103
150210330,30,Moiraba,,,,1502103
150210336,36,Torres do Cupijó,,,,1502103
150210340,40,Vila do Carmo do Tocantins,,,,1502103
150215205,05,Canaã dos Carajás,,,,1502152
150220205,05,Capanema,,,,1502202
150220210,10,Mirasselvas,,,,1502202
150220215,15,Tauari,,,,1502202
150230105,05,Capitão Poço,,,,1502301
150240005,05,Castanhal,,,,1502400
150240010,10,Apeú,,,,1502400
150250905,05,Chaves,,,,1502509
150250910,10,São Sebastião de Viçosa,,,,1502509
150260805,05,Colares,,,,1502608
150270705,05,Conceição do Araguaia,,,,1502707
150275605,05,Concórdia do Pará,,,,1502756
150276405,05,Cumaru do Norte,,,,1502764
150277205,05,Curionópolis,,,,1502772
150280605,05,Curralinho,,,,1502806
150280610,10,Piriá,,,,1502806
150285505,05,Curuá,,,,1502855
150290505,05,Curuçá,,,,1502905
150290520,20,Lauro Sodré,,,,1502905
150290525,25,Murajá,,,,1502905
150290540,40,Ponta de Ramos,,,,1502905
150293905,05,Dom Eliseu,,,,1502939
150295405,05,Eldorado do Carajás,,,,1502954
150300205,05,Faro,,,,1503002
150300208,08,Nova Maracanã,,,,1503002
150304405,05,Floresta do Araguaia,,,,1503044
150307705,05,Garrafão do Norte,,,,1503077
150309305,05,Goianésia do Pará,,,,1503093
150310105,05,Gurupá,,,,1503101
150310110,10,Carrazedo,,,,1503101
150310115,15,Itatupã,,,,1503101
150320005,05,Igarapé-Açu,,,,1503200
150320010,10,Caripi,,,,1503200
150330905,05,Igarapé-Miri,,,,1503309
150330910,10,Maiauatá,,,,1503309
150340805,05,Inhangapi,,,,1503408
150345705,05,Ipixuna do Pará,,,,1503457
150350705,05,Irituia,,,,1503507
150360605,05,Itaituba,,,,1503606
150370505,05,Itupiranga,,,,1503705
150375405,05,Jacareacanga,,,,1503754
150375420,20,Porto Rico,,,,1503754
150380405,05,Jacundá,,,,1503804
150390305,05,Juruti,,,,1503903
